2024-01-08-16-59-44,299.403470,9.692876
2024-01-08-16-59-45,300.409445,23.975322
2024-01-08-16-59-46,301.417002,38.600734
2024-01-08-16-59-47,302.417701,45.977411
2024-01-08-16-59-51,306.522446,41.723778
2024-01-08-16-59-52,307.550460,26.857037
2024-01-08-16-59-54,308.925849,6.617772
2024-01-08-16-59-55,309.931207,-8.791783
2024-01-08-16-59-56,310.954701,-24.118941
2024-01-08-16-59-57,311.985428,-39.546795
2024-01-08-16-59-58,313.017560,-54.707001
2024-01-08-16-59-59,314.020913,-68.684751
2024-01-08-17-00-00,315.031971,-85.221299
2024-01-08-17-00-01,316.058120,-100.621456
2024-01-08-17-00-02,317.082107,-116.002643
2024-01-08-17-00-03,318.460578,-136.215113
2024-01-08-17-00-04,319.461112,-150.534540
2024-01-08-17-00-05,320.472724,-166.840051
2024-01-08-17-00-06,321.497674,-182.139012
2024-01-08-17-00-07,322.527870,-197.754506
2024-01-08-17-00-08,323.558436,-211.780169
2024-01-08-17-00-09,324.559573,-228.276229
2024-01-08-17-00-10,325.581004,-243.465537
2024-01-08-17-00-11,326.604372,-258.811410
2024-01-08-17-00-13,327.894390,-277.818869
2024-01-08-17-00-14,328.897727,-292.065830
2024-01-08-17-00-15,329.912044,-307.210190
2024-01-08-17-00-16,330.921202,-323.664002
2024-01-08-17-00-17,331.947795,-338.949495
2024-01-08-17-00-18,332.973911,-354.275864
2024-01-08-17-00-19,334.006839,-369.413884
2024-01-08-17-00-20,335.009908,-383.603634
2024-01-08-17-00-21,336.020346,-400.116006
2024-01-08-17-00-22,337.050657,-415.487332
2024-01-08-17-00-23,338.072309,-430.916274
2024-01-08-17-00-24,339.097973,-445.369931
2024-01-08-17-00-25,340.475278,-448.999886
2024-01-08-17-00-29,344.531479,-445.128553
2024-01-08-17-00-30,345.543795,-430.963831
2024-01-08-17-00-31,346.555418,-415.047124
2024-01-08-17-00-32,347.585914,-399.778725
2024-01-08-17-00-33,348.612861,-384.376488
2024-01-08-17-00-34,349.639757,-368.991644
2024-01-08-17-00-36,350.988663,-349.518645
2024-01-08-17-00-37,352.001070,-335.090381
2024-01-08-17-00-38,353.001730,-319.728643
2024-01-08-17-00-39,354.006447,-305.036350
2024-01-08-17-00-40,355.023709,-288.235806
2024-01-08-17-00-41,356.048850,-272.773166
